5.91776,1024
17.7718,1024
24.0269,1024
29.9533,1024
35.6216,1024
43.7133,1024
51.8892,1024
58.1734,1024
63.2981,1024
68.7436,1024
73.8812,1024
79.2157,1024
86.4449,1024
91.7657,1024
97,1024
103.063,1024
108.364,1024
113.373,1024
118.522,1024
124.493,1024
129.832,1024
135.136,1024
140.271,1024
146.357,1024
151.797,1024
157.789,1024
166.666,1024
172.062,1024
178.434,1024
183.715,1024
191.148,1024
197.304,1024
203.922,1024
209.7,1024
216.1,1024
222.021,1024
227.085,1024
232.16,1024
238.147,1024
245.902,1024
251.539,1024
260.078,1024
265.872,1024
270.96,1024
276.11,1024
283.25,1024
289.991,1024
296.702,1024
303.467,1024
308.522,1024
317.972,1024
324.97,1024
330.357,1024
335.555,1024
341.081,1024
346.125,1024
351.447,1024
356.684,1024
361.728,1024
366.926,1024
372.284,1024
380.855,1024
390.949,1024
396.372,1024
401.877,1024
408.931,1024
413.931,1024
420.047,1024
425.309,1024
433.246,1024
438.296,1024
444.428,1024
460.225,1024
467.598,1024
475.223,1024
482.907,1024
488.471,1024
493.613,1024
502.88,1024
511.312,1024
520.101,1024
525.332,1024
531.824,1024
538.033,1024
544.875,1024
550.36,1024
557.164,1024
563.612,1024
568.807,1024
574.504,1024
579.752,1024
585.289,1024
598.364,1024
604.283,1024
610.432,1024
616.553,1024
622.199,1024
628.564,1024
634.969,1024
640.738,1024
646.163,1024
651.34,1024
659.379,1024
664.397,1024
669.765,1024
675.018,1024
680.104,1024
688.007,1024
693.838,1024
700.348,1024
709.085,1024
714.36,1024
719.902,1024
725.439,1024
730.497,1024
736.492,1024
742.475,1024
751.121,1024
756.316,1024
762.007,1024
767.369,1024
774.03,1024
780.391,1024
787.096,1024
792.77,1024
797.855,1024
803.852,1024
809.792,1024
814.881,1024
822.041,1024
827.67,1024
832.898,1024
838.729,1024
843.745,1024
848.798,1024
855.628,1024
860.943,1024
867.24,1024
872.687,1024
882.242,1024
888.854,1024
895.01,1024
900.821,1024
905.859,1024
911.312,1024
917.039,1024
923.36,1024
930.087,1024
935.275,1024
941.125,1024
946.311,1024
953.601,1024
963.517,1024
971.516,1024
976.655,1024
982.23,1024
993.154,1024
998.789,1024
1003.95,1024
1009.09,1024
1015.07,1024
1020.14,1024
1025.28,1024
1030.93,1024
1036.12,1024
1041.77,1024
1047.26,1024
1053.66,1024
1059.29,1024
1064.96,1024
1071,1024
1076.49,1024
1083.12,1024
1088.63,1024
1093.64,1024
1099.85,1024
1105.39,1024
1111.42,1024
1116.54,1024
1122.62,1024
1130.52,1024
1135.97,1024
1141,1024
1154.6,1024
1159.8,1024
1165.13,1024
1173.31,1024
1178.35,1024
1183.52,1024
1192.95,1024
1198.53,1024
1203.57,1024
1209.93,1024
1219.61,1024
1225.68,1024
1231.67,1024
1238.15,1024
1244.18,1024
1249.55,1024
1255.15,1024
1261.03,1024
1267.37,1024
1272.46,1024
1279.03,1024
1284.61,1024
1290.44,1024
1296.88,1024
1302.39,1024
1309.75,1024
1315.09,1024
1320.21,1024
1329.15,1024
1334.37,1024
1342.36,1024
1347.46,1024
1352.48,1024
1358.77,1024
1363.85,1024
1369.21,1024
1377.11,1024
1382.48,1024
1389.17,1024
1399.46,1024
1409.57,1024
1415.17,1024
1420.48,1024
1427.21,1024
1433.44,1024
1445.9,1024
1451.08,1024
1456.4,1024
1462.63,1024
1470.59,1024
1477.73,1024
1484.37,1024
1490.77,1024
1497.53,1024
